WISH YOU WERE HERE,Jodi Picoult,Ballantine,9,336,Fiction & Literature,4,1621,12.99,17.63,"21,632",4.4
CARAMEL PECAN ROLL MURDER,Joanne Fluke,Kensington Cozies,1,304,Cozy,4,84,13.99,16.89,"1,367",4.2
THE MIDNIGHT LIBRARY,Matt Haig,Viking,56,304,Fiction & Literature,4.5,6128,9.99,13.29,"150,802",4.3
THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,36,320,Fiction & Literature,4,10956,13.99,13.50,"83,178",4.3
SAVAGE ROAD,Christine Feehan,Berkley,1,528,Paranormal,4.5,241,8.99,6.74,"3,345",4.6
THE MAGNOLIA PALACE,Fiona Davis,Dutton,1,352,Historical,4,385,14.99,18.16,"3,142",4.3
THE JUDGE'S LIST,John Grisham,Doubleday,15,368,Mysteries & Thrillers,4,5600,14.99,13.94,"50,664",4.4
VIOLETA,Isabel Allende,Ballantine,1,336,Literary,4.5,188,11.99,21.80,"3,674",4.4
THE HORSEWOMAN,James Patterson and Mike Lupica,"Little, Brown",2,448,Mysteries & Thrillers,4,515,14.99,16.89,"6,175",4.3
ANNIHILATION ROAD,Christine Feehan,Berkley,1,480,Contemporary,4.5,301,8.99,6.74,"3,758",4.5
CRIMINAL MISCHIEF,Stuart Woods,Putnam,1,320,Action & Adventure,4,687,14.99,15.99,"4,061",4.1
THE DARK HOURS,Michael Connelly,"Little, Brown",6,400,Mysteries & Thrillers,4.5,3588,14.99,14.00,"34,604",4.6
GO TELL THE BEES THAT I AM GONE,Diana Gabaldon,Delacorte,6,928,Historical,4.5,1646,15.99,20.38,"38,678",4.7
CLOUD CUCKOO LAND,Anthony Doerr,Scribner,12,640,Literary,4.5,1151,15.99,18.23,"14,291",4.5
THE SONG OF ACHILLES,Madeline Miller,Ecco,22,416,Classics,4.5,3098,10.99,10.35,"39,970",4.7
THE STRANGER IN THE LIFEBOAT,Mitch Albom,Harper,9,288,Religious,4.5,1017,11.99,15.07,"14,766",4.6
THE WISH,Nicholas Sparks,Grand Central,9,496,Contemporary,4.5,2302,14.99,13.82,"26,310",4.7
FLYING ANGELS,Danielle Steel,Delacorte,1,288,Historical,4.5,371,12.99,13.62,"7,268",4.6
MERCY,David Baldacci,Grand Central,2,432,Mysteries & Thrillers,4.5,3107,14.99,14.50,"21,792",4.6
THE CHRISTMAS PROMISE,Richard Paul Evans,Gallery,1,288,Fiction & Literature,4,63,10.99,10.99,"2,598",4.7
STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,"Simon & Schuster, St. Martin’s",5,512,Mysteries & Thrillers,4,1463,14.99,13.50,"23,609",4.5
PROJECT HAIL MARY,Andy Weir,Ballantine,11,496,Adventure,4.5,5012,14.99,17.32,"62,874",4.7
THE BECOMING,Nora Roberts,St. Martin's,1,464,Paranormal,4.5,1231,14.99,14.49,"13,624",4.7
FEAR NO EVIL,James Patterson,"Little, Brown",1,400,Mysteries & Thrillers,4.5,1618,14.99,14.50,"13,547",4.6
BETTER OFF DEAD,Lee Child and Andrew Child,Delacorte,1,336,Mysteries & Thrillers,4,3527,14.99,15.18,"34,848",4.1
DUNE,Frank Herbert,Ace,2,528,Classics,4.5,4510,9.99,13.86,"53,822",4.7
APPLES NEVER FALL,Liane Moriarty,Holt,7,480,Fiction & Literature,4,2786,14.99,17.39,"39,231",4.2
ARCHANGEL'S LIGHT,Nalini Singh,Berkley,1,400,Paranormal,4.5,277,8.99,7.86,"3,451",4.6
FORGIVING PARIS,Karen Kingsbury,Atria,1,336,Religious,4.5,109,12.99,15.99,"2,285",4.7
THE JAILHOUSE LAWYER,James Patterson and Nancy Allen,"Little, Brown",1,576,Mysteries & Thrillers,4,710,14.99,13.97,"8,883",4.5
DAUGHTER OF THE MORNING STAR,Craig Johnson,Viking,1,336,Mysteries & Thrillers,4.5,481,14.99,18.29,"5,839",4.7
VINCE FLYNN: ENEMY AT THE GATES,Kyle Mills,Emily Bestler/Atria,2,352,Mysteries & Thrillers,4.5,2734,14.99,14.08,"15,520",4.6
BILLY SUMMERS,Stephen King,Scribner,8,528,Mysteries & Thrillers,4.5,3526,15.99,14.10,"34,716",4.6
UNDER THE WHISPERING DOOR,TJ Klune,Tor,1,400,Contemporary,4.5,151,13.99,22.50,"4,604",4.5
"BEAUTIFUL WORLD, WHERE ARE YOU",Sally Rooney,"Farrar, Straus & Giroux",3,368,Literary,3.5,647,14.99,16.80,"10,144",3.9
BEWILDERMENT,Richard Powers,Norton,1,288,Literary,3.5,859,14.99,13.97,"5,515",4.3
A SLOW FIRE BURNING,Paula Hawkins,Riverhead,4,320,Mysteries & Thrillers,3.5,1173,13.99,13.55,"12,350",3.9
THE MADNESS OF CROWDS,Louise Penny,Minotaur,1,448,British Detectives,4.5,1470,14.99,14.00,"22,274",4.5
LIGHTNING STRIKE,William Kent Krueger,Atria,1,400,Mysteries & Thrillers,4.5,342,12.99,16.08,"5,642",4.7
NINE PERFECT STRANGERS,Liane Moriarty,Flatiron,13,432,Fiction & Literature,4,4189,9.99,9.99,"19,993",4.1
PEOPLE WE MEET ON VACATION,Emily Henry,Berkley,16,400,Romantic Comedy,4.5,2689,9.99,9.98,"32,361",4.3
THE LOVE SONGS OF W.E.B. DU BOIS,Honorée Fanonne Jeffers,Harper,1,816,African American,3.5,685,14.99,19.02,"3,177",4.6
BOMBSHELL,Sarah MacLean,Avon,1,400,Historical,4,245,6.99,6.48,"1,731",4.3
THE NOISE,James Patterson and J.D. Barker,"Little, Brown",2,432,Mysteries & Thrillers,3.5,538,14.99,11.87,"6,935",3.7
THE PAPER PALACE,Miranda Cowley Heller,Riverhead,8,400,Fiction & Literature,4,2479,12.99,12.99,"23,398",4.2
THE CELLIST,Daniel Silva,HarperCollins,3,480,Mysteries & Thrillers,3.5,3520,11.99,13.99,"22,999",4.0
NOT A HAPPY FAMILY,Shari Lapena,Pamela Dorman,1,368,Mysteries & Thrillers,4,1117,13.99,17.00,"9,749",4.2
DEVIL IN DISGUISE,Lisa Kleypas,Avon,1,384,Historical,4.5,602,6.99,5.98,"4,099",4.5
CLAIMED,J.R. Ward,Gallery Books,1,528,Contemporary,4.5,285,8.99,8.99,"4,158",4.5
MALIBU RISING,Taylor Jenkins Reid,Ballantine,9,384,Fiction & Literature,4,3860,12.99,16.61,"32,138",4.2
BLACK ICE,Brad Thor,Emily Bestler/Atria,2,336,Mysteries & Thrillers,4,3235,9.99,13.99,"11,676",4.6
A TIME FOR MERCY,John Grisham,Doubleday,20,480,Mysteries & Thrillers,4.5,5850,9.99,12.99,"69,944",4.6
THE PRESIDENT'S DAUGHTER,Bill Clinton and James Patterson,"Little, Brown",3,528,Mysteries & Thrillers,4.5,2496,14.99,14.47,"23,065",4.6
GOLDEN GIRL,Elin Hilderbrand,"Little, Brown",4,384,Family,4,2725,14.99,13.99,"23,325",4.5
THE MAIDENS,Alex Michaelides,Celadon,2,336,Mysteries & Thrillers,4,1642,14.99,13.99,"13,616",4.1
THE FOUR WINDS,Kristin Hannah,St. Martin's,21,320,Fiction & Literature,4.5,8395,14.99,13.79,"100,837",4.5
THE SILENT PATIENT,Alex Michaelides,Celadon,43,304,Mysteries & Thrillers,4.5,16280,12.99,18.00,"105,816",4.5
BEACH READ,Emily Henry,Berkley,2,384,Romantic Comedy,4.5,2637,8.99,7.35,"27,498",4.4
LEGACY,Nora Roberts,St. Martin's,1,400,Fiction & Literature,4.5,1854,14.99,12.98,"16,830",4.6
SHADOW STORM,Christine Feehan,Berkley,1,432,Paranormal,4.5,407,8.99,8.39,"4,553",4.7
SOOLEY,John Grisham,Doubleday,5,368,Fiction & Literature,4,2794,9.99,14.64,"33,159",4.5
THE SABOTEURS,Clive Cussler and Jack Du Brul,Putnam,1,400,Action & Adventure,4.5,431,14.99,9.99,"4,652",4.6
A GAMBLING MAN,David Baldacci,Grand Central,6,448,Mysteries & Thrillers,4.5,2963,11.99,11.55,"24,219",4.4
WHILE JUSTICE SLEEPS,Stacey Abrams,Doubleday,3,384,Mysteries & Thrillers,4,679,11.99,16.01,"12,225",4.5
THAT SUMMER,Jennifer Weiner,Atria,3,32,Poetry,4.5,99,9.99,13.08,"10,361",4.2
21ST BIRTHDAY,James Patterson and Maxine Paetro,"Little, Brown",4,368,Fiction & Literature,4,2794,9.99,13.99,"23,158",4.6
FINDING ASHLEY,Danielle Steel,Delacorte,1,288,Fiction & Literature,4.5,724,8.99,8.99,"10,201",4.6
FUGITIVE TELEMETRY,Martha Wells,Tor.com,1,176,Adventure,4.5,514,11.99,16.39,"11,193",4.6
THE HILL WE CLIMB,Amanda Gorman,Viking,5,32,Poetry,4.5,99,9.99,9.58,"14,562",4.9
OCEAN PREY,John Sandford,Putnam,3,432,Mysteries & Thrillers,4.5,3396,9.99,12.92,"27,789",4.7
THE SENTINEL,Lee Child and Andrew Child,Dell,10,368,Mysteries & Thrillers,4,4622,9.99,9.01,"51,855",4.3
A DISTANT SHORE,Karen Kingsbury,Atria,1,384,Religious,4.5,267,12.99,17.36,"3,112",4.8
MEANT TO BE IMMORTAL,Lynsay Sands,Avon,1,400,Paranormal,4.5,253,5.99,6.45,"2,799",4.7
THRAWN ASCENDANCY: GREATER GOOD,Timothy Zahn,Del Rey,1,432,Science Fiction,4.5,243,12.99,18.00,"2,784",4.7
WHEREABOUTS,Jhumpa Lahiri,Knopf,1,176,Fiction & Literature,4,104,11.99,12.99,"2,411",4.0
THE CONSEQUENCES OF FEAR,Jacqueline Winspear,Harper,1,352,Women Sleuths,4.5,328,10.99,17.97,"5,389",4.7
DOUBLE JEOPARDY,Stuart Woods,Putnam,1,320,Action & Adventure,4,860,9.99,13.69,"4,468",4.4
THE BOUNTY,Janet Evanovich and Steve Hamilton,Atria,1,320,Mysteries & Thrillers,4.5,552,13.99,12.99,"4,648",4.6
LATER,Stephen King,Hard Case Crime,4,272,Mysteries & Thrillers,4,1822,9.99,9.56,"27,430",4.5
ETERNAL,Lisa Scottoline,Putnam,1,480,Historical,4.5,639,11.99,15.50,"8,934",4.5
THE ROSE CODE,Kate Quinn,Morrow,3,656,Historical,4.5,1463,11.99,14.99,"23,392",4.7
LIFE AFTER DEATH,Sister Souljah,Atria/Emily Bestler,4,352,African American,3.5,586,13.99,14.97,"16,399",4.1
KLARA AND THE SUN,Kazuo Ishiguro,Knopf,4,320,Literary,4,1299,12.99,14.79,"29,676",4.3
WE BEGIN AT THE END,Chris Whitaker,Holt,3,384,Literary,4.5,800,11.99,12.81,"14,735",4.4
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,18,480,Historical,4.5,3397,14.99,16.19,"47,674",4.5
FIREFLY LANE,Kristin Hannah,St. Martin's Griffin,6,496,Fiction & Literature,4.5,3406,9.99,10.70,"25,921",4.6
THE KAISER'S WEB,Steve Berry,Minotaur,1,400,Mysteries & Thrillers,4.5,905,9.99,15.94,"4,535",4.5
A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,2,768,Fantasy,4.5,5152,18.99,16.84,"47,802",4.8
KINGDOM OF SHADOW AND LIGHT,Karen Marie Moning,Delacorte,1,512,Paranormal,4.5,241,8.99,8.99,"3,543",4.7
THE VISCOUNT WHO LOVED ME,Julia Quinn,Avon,9,400,Historical,4.5,2997,7.99,5.99,"29,416",4.6
THE VANISHING HALF,Brit Bennett,Riverhead,39,352,Fiction & Literature,4,6276,11.99,6.77,"84,956",4.4
THE SANATORIUM,Sarah Pearse,Pamela Dorman,4,400,Mysteries & Thrillers,3.5,1796,13.99,14.83,"18,539",3.9
TRIPLE CHOCOLATE CHEESECAKE MURDER,Joanne Fluke,Kensington,1,304,Women Sleuths,4,204,1.99,14.59,"3,542",4.2
AN OFFER FROM A GENTLEMAN,Julia Quinn,Avon,3,416,Historical,4.5,2242,7.99,8.99,"21,353",4.6
FAITHLESS IN DEATH,J.D. Robb,St. Martin's,3,416,Police Procedural,4.5,1879,9.99,13.63,"17,518",4.8
THE RUSSIAN,James Patterson and James O. Born,"Little, Brown",1,368,Mysteries & Thrillers,4.5,1603,14.99,8.84,"9,608",4.7
THE DUKE AND I,Julia Quinn,Avon,5,464,Historical,4.5,2879,7.99,14.49,"36,248",4.6
THE PUSH,Ashley Audrain,Pamela Dorman,2,320,Fiction & Literature,4.5,1630,11.99,17.00,"22,858",4.3
ROMANCING MISTER BRIDGERTON,Julia Quinn,Avon,4,432,Historical,4.5,2858,7.99,39.34,"24,654",4.6
ANXIOUS PEOPLE,Fredrik Backman,Atria,21,352,Literary,4.5,3089,12.99,13.23,"42,907",4.4
HIGHLAND TREASURE,Lynsay Sands,Avon,1,368,Historical,4.5,253,7.99,6.79,"2,077",4.7
PRODIGAL SON,Gregg Hurwitz,Minotaur,1,432,Mysteries & Thrillers,4.5,1099,9.99,17.99,"6,187",4.6
WHEN HE WAS WICKED,Julia Quinn,Avon,1,432,Historical,4.5,2062,7.99,4.48,"16,778",4.6
READY PLAYER TWO,Ernest Cline,Ballantine,5,384,Adventure,4,2077,11.99,13.18,"35,114",4.3
DEADLY CROSS,James Patterson,"Little, Brown",5,416,Mysteries & Thrillers,4.5,2585,11.99,6.99,"22,125",4.7
THE RETURN,Nicholas Sparks,Grand Central,13,368,Contemporary,4.5,3449,11.99,12.40,"36,127",4.6
THE GUEST LIST,Lucy Foley,Morrow,20,336,Mysteries & Thrillers,4,6805,11.99,20.64,"60,836",4.2
DAYLIGHT,David Baldacci,Grand Central,6,416,Mysteries & Thrillers,4.5,4427,11.99,14.30,"29,283",4.5
THE AWAKENING,Nora Roberts,St. Martin's,5,464,Paranormal,4.5,2422,11.99,12.98,"20,409",4.8
THE LAW OF INNOCENCE,Michael Connelly,"Little, Brown",7,400,Mysteries & Thrillers,4.5,4488,9.99,12.19,"38,038",4.5
IF IT BLEEDS,Stephen King,Scribner,10,448,Mysteries & Thrillers,4,1494,13.99,13.57,"22,351",4.7
THE SCORPION'S TAIL,Douglas Preston and Lincoln Child,Grand Central,1,416,Mysteries & Thrillers,4.5,1376,11.99,12.99,"8,513",4.6
BLOOD HEIR,Ilona Andrews,NYLA,1,413,Urban,4.5,474,6.99,15.99,"9,365",4.8
NEIGHBORS,Danielle Steel,Delacorte,2,288,Fiction & Literature,4.5,804,8.99,9.20,"9,917",4.6
STAR WARS: LIGHT OF THE JEDI,Charles Soule,Del Rey,2,400,Science Fiction,4.5,778,12.99,16.00,"8,986",4.5
ROBERT B. PARKER'S SOMEONE TO WATCH OVER ME,Ace Atkins,Putnam,1,320,Mysteries & Thrillers,4,342,9.99,9.99,"2,722",4.5
WILD SIGN,Patricia Briggs,Ace,1,368,Fantasy,4.5,547,8.99,8.99,"10,581",4.8
DARK SKY,C.J. Box,Putnam,3,368,Mysteries & Thrillers,4.5,2513,9.99,9.15,"17,590",4.7
CAMINO WINDS,John Grisham,Doubleday,17,304,Mysteries & Thrillers,4,3903,9.99,12.95,"28,491",4.4
THE DEVIL'S HAND,Jack Carr,Emily Bestler/Atria,1,544,Mysteries & Thrillers,4.5,1692,9.99,13.99,"7,979",4.7
STARGAZER,Anne Hillerman,Harper,1,368,Police Procedural,4.5,403,9.99,14.97,"5,664",4.6
THE GOOD SISTER,Sally Hepworth,St. Martin's,1,352,Mysteries & Thrillers,4.5,1304,11.99,12.15,"17,246",4.4
THE RED BOOK,James Patterson and David Ellis,"Little, Brown",3,400,Mysteries & Thrillers,4.5,1324,14.99,13.99,"11,343",4.6
WHEN THE STARS GO DARK,Paula McLain,Ballantine,1,384,Mysteries & Thrillers,4,511,11.99,21.50,"4,819",4.2
THE SUMMER OF LOST AND FOUND,Mary Alice Monroe,Gallery,1,368,Fiction & Literature,4,278,13.99,14.29,"3,806",4.4
THE DEVIL MAY DANCE,Jake Tapper,"Little, Brown",1,336,Mysteries & Thrillers,4,173,14.99,14.20,"2,995",4.1
THE OTHER BLACK GIRL,Zakiya Dalila Harris,Atria,2,368,Literary,3.5,392,12.99,13.49,"6,481",3.9
MILLION DOLLAR DEMON,Kim Harrison,Ace,1,464,Fantasy,4.5,165,14.99,15.99,"4,100",4.8
IT'S BETTER THIS WAY,Debbie Macomber,Ballantine,1,320,Contemporary,4,711,13.99,8.99,"5,924",4.5
FALLING,T.J. Newman,Avid Reader,2,304,Mysteries & Thrillers,4,1521,14.99,12.90,"10,194",4.4
BLOODLESS,Douglas Preston and Lincoln Child,Grand Central,1,368,Police Procedural,4,1078,14.99,22.68,"8,356",4.4
COMPLICATIONS,Danielle Steel,Delacorte,1,256,Fiction & Literature,4,643,13.99,8.99,"6,470",4.4
FORGOTTEN IN DEATH,J.D. Robb,St. Martin's,2,384,Police Procedural,4.5,1494,9.99,10.85,"16,091",4.8
THE WISDOM OF CROWDS,Joe Abercrombie,Orbit,1,528,Epic,4.5,261,14.99,19.10,"4,391",4.7
EMPIRE OF THE VAMPIRE,Jay Kristoff,St. Martin's,1,672,Fantasy,4.5,111,14.99,14.99,"2,313",4.7
SILVERVIEW,John Le Carré,Viking,1,224,Mysteries & Thrillers,4,359,14.99,12.98,"5,634",4.2
THE BOOK OF MAGIC,Alice Hoffman,Simon & Schuster,1,400,Fantasy,4.5,175,14.99,22.47,"2,908",4.7
THE BUTLER,Danielle Steel,Delacorte,2,272,Fiction & Literature,4,519,14.99,14.49,"7,002",4.5
2 SISTERS DETECTIVE AGENCY,James Patterson and Candice Fox,Grand Central,2,400,Mysteries & Thrillers,4,658,11.99,12.00,"10,392",4.3
HARLEM SHUFFLE,Colson Whitehead,Doubleday,5,336,Literary,4,456,14.99,17.58,"8,382",4.3
CLIVE CUSSLER'S THE DEVIL'S SEA,Dirk Cussler,Putnam,1,432,Action & Adventure,4.5,544,14.99,13.57,"5,713",4.6
TOM CLANCY: CHAIN OF COMMAND,Marc Cameron,Putnam,1,512,Mysteries & Thrillers,4.5,815,14.99,15.19,"5,111",4.6
TERMINATION SHOCK,Neal Stephenson,Morrow,1,720,Mysteries & Thrillers,4,271,16.99,17.50,"3,980",4.4
GAME ON,Janet Evanovich,Atria,3,304,Women Sleuths,4.5,1396,15.99,17.49,"18,314",4.6
GUILD BOSS,Jayne Castle,Berkley,1,304,Paranormal,4.5,176,14.99,14.99,"3,388",4.6
CALL US WHAT WE CARRY,Amanda Gorman,Viking,2,240,Poetry,4.5,16,14.99,13.80,"3,138",4.9
NYPD RED 6,James Patterson and Marshall Karp,Grand Central,1,384,Mysteries & Thrillers,4.5,963,11.99,10.46,"7,524",4.6
FORTUNE AND GLORY,Janet Evanovich,Atria,7,320,Mysteries & Thrillers,4.5,1995,9.99,9.32,"22,352",4.6
RHYTHM OF WAR,Brandon Sanderson,Tor,1,1088,Epic,4.5,2552,15.99,17.49,"30,434",4.8
ALL THAT GLITTERS,Danielle Steel,Delacorte,1,288,Fiction & Literature,4.5,647,7.99,12.99,"8,019",4.6
TOM CLANCY: SHADOW OF THE DRAGON,Marc Cameron,Putnam,1,512,Mysteries & Thrillers,4,1395,9.99,9.99,"9,145",4.5
PIECE OF MY HEART,Mary Higgins Clark and Alafair Burke,Simon & Schuster,1,336,Mysteries & Thrillers,4.5,485,9.99,13.49,"6,469",4.6
THE EVENING AND THE MORNING,Ken Follett,Viking,10,928,Historical,4.5,3372,12.99,17.03,"48,158",4.6
THE SEARCHER,Tana French,Viking,2,464,Mysteries & Thrillers,4,2028,12.99,6.63,"25,123",4.3
TROUBLES IN PARADISE,Elin Hilderbrand,"Little, Brown",2,352,Fiction & Literature,4.5,2004,11.99,13.65,"15,790",4.5
THE BOOK OF TWO WAYS,Jodi Picoult,Ballantine,4,432,Fiction & Literature,4,873,8.99,13.80,"15,825",4.1
JINGLE ALL THE WAY,Debbie Macomber,Ballantine,1,272,Contemporary,4.5,204,8.99,10.87,"4,223",4.6
INVISIBLE GIRL,Lisa Jewell,Atria,1,368,Mysteries & Thrillers,4,908,12.99,14.95,"14,182",4.3
LEAVE THE WORLD BEHIND,Rumaan Alam,Ecco,2,272,Family,3.5,1173,12.99,13.31,"12,477",3.6
THE COAST-TO-COAST MURDERS,James Patterson and JD Barker,"Little, Brown",4,576,Mysteries & Thrillers,4,857,14.99,14.11,"10,659",4.2
VINCE FLYNN: TOTAL POWER,Kyle Mills,Emily Bestler/Atria,1,384,Mysteries & Thrillers,4,3727,9.99,14.80,"16,564",4.5
TROUBLED BLOOD,Robert Galbraith,"Little, Brown",1,944,Mysteries & Thrillers,4.5,2041,12.99,14.50,"46,860",4.6
TO SLEEP IN A SEA OF STARS,Christopher Paolini,Tor,1,688,Science Fiction,4,428,12.99,11.99,"7,404",4.4
SHADOWS IN DEATH,J.D. Robb,St. Martin's,2,352,Police Procedural,4.5,1855,8.99,15.40,"19,455",4.8
ALL THE DEVILS ARE HERE,Louise Penny,Minotaur,3,448,British Detectives,4.5,1902,9.99,15.99,"23,109",4.7
PIRANESI,Susanna Clarke,Bloomsbury,1,272,Literary,4.5,652,12.99,15.99,"15,701",4.5
ONE BY ONE,Ruth Ware,Gallery/Scout,2,384,Mysteries & Thrillers,4,1445,12.99,17.65,"13,186",4.3
THE HARBINGER II,Jonathan Cahn,FrontLine,3,304,Religious,4.5,154,24.99,14.03,"15,507",4.8
SQUEEZE ME,Carl Hiaasen,Knopf,4,352,Mysteries & Thrillers,4,1752,1.99,7.00,"17,491",4.4
FIFTY WORDS FOR RAIN,Asha Lemmie,Dutton,1,464,Historical,4,740,13.99,17.08,"7,834",4.3
CHOPPY WATER,Stuart Woods,Putnam,1,336,Action & Adventure,4,918,9.99,9.99,"3,432",4.4
THE MIDWIFE MURDERS,James Patterson and Richard DiLallo,Grand Central,1,336,Mysteries & Thrillers,4,435,11.99,9.40,"7,125",4.3
A PRIVATE CATHEDRAL,James Lee Burke,Simon & Schuster,1,384,Mysteries & Thrillers,4,471,13.99,8.49,"4,388",4.4
28 SUMMERS,Elin Hilderbrand,"Little, Brown",9,432,Fiction & Literature,4.5,3768,12.99,15.99,"22,187",4.6
THE ORDER,Daniel Silva,Harper,5,464,Mysteries & Thrillers,4,3377,9.99,11.00,"18,502",4.4
1ST CASE,James Patterson and Chris Tebbetts,"Little, Brown",3,352,Mysteries & Thrillers,4,847,11.99,10.36,"9,026",4.5
THEN SHE WAS GONE,Lisa Jewell,Atria,7,368,Fiction & Literature,4.5,3888,12.99,12.99,"41,809",4.6
NEAR DARK,Brad Thor,Emily Bestler/Atria,4,352,Mysteries & Thrillers,4.5,3630,9.99,9.64,"8,781",4.6
AMERICAN DIRT,Jeanine Cummins,Flatiron,30,400,Family,4,5974,12.99,14.00,"67,732",4.6
LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,79,352,Literary,4.5,8736,11.99,10.25,"53,725",4.5
THE SILENT WIFE,Karin Slaughter,Morrow,2,656,Mysteries & Thrillers,4.5,1425,6.99,10.91,"11,101",4.6
PEACE TALKS,Jim Butcher,Ace,1,352,Fantasy,4.5,1300,9.99,14.39,"17,267",4.7
SEX AND VANITY,Kevin Kwan,Doubleday,3,336,Fiction & Literature,3.5,1428,11.99,13.36,"5,777",4.0
A WALK ALONG THE BEACH,Debbie Macomber,Ballantine,1,336,Contemporary,4.5,640,8.99,22.94,"6,214",4.7
THE GUARDIANS,John Grisham,Doubleday,24,384,Mysteries & Thrillers,4.5,5143,9.99,13.73,"31,959",4.5
CAJUN JUSTICE,James Patterson and Tucker Axum III,Grand Central,1,432,Mysteries & Thrillers,4,330,11.99,9.27,"3,836",4.4
UTOPIA AVENUE,David Mitchell,Random House,1,592,Literary,4.5,193,14.99,14.49,"3,412",4.4
THE SUMMER HOUSE,James Patterson and Brendan DuBois,"Little, Brown",6,448,Mysteries & Thrillers,4.5,1626,11.99,14.98,"8,583",4.6
FAIR WARNING,Michael Connelly,Little Brown,4,416,Mysteries & Thrillers,4.5,2600,9.99,11.36,"23,701",4.5
AMERICAN DEMON,Kim Harrison,Ace,1,496,Fantasy,4.5,273,7.99,28.00,"5,085",4.8
DEACON KING KONG,James McBride,Riverhead,1,384,African American,3.5,1796,13.99,12.59,"13,804",4.5
DEVOLUTION,Max Brooks,Del Rey,1,304,Horror,4.5,545,11.99,19.61,"7,613",4.4
HIDEAWAY,Nora Roberts,St. Martin's,4,400,Fiction & Literature,4.5,2216,9.99,20.82,"13,810",4.6
WALK THE WIRE,David Baldacci,Grand Central,4,432,Mysteries & Thrillers,4.5,4462,9.99,12.90,"22,737",4.5
NORMAL PEOPLE,Sally Rooney,Hogarth,7,288,Fiction & Literature,4,3985,11.99,13.36,"37,939",4.2
THE LAST TRIAL,Scott Turow,Grand Central,1,464,Fiction & Literature,4,893,9.99,13.84,"4,089",4.2
BIG SUMMER,Jennifer Weiner,Atria,2,368,Fiction & Literature,4,1882,12.99,12.50,"11,478",4.2
BLUE MOON,Lee Child,Delacorte,13,368,Mysteries & Thrillers,4,5249,9.99,12.73,"30,263",4.4
ALL ADULTS HERE,Emma Straub,Riverhead,2,368,Family,4,1025,12.99,9.89,"6,821",4.0
THE BOOK OF LOST FRIENDS,Lisa Wingate,Ballantine,2,400,Historical,4.5,988,10.99,13.91,"15,832",4.5
THE LAST EMPEROX,John Scalzi,Tor,1,336,Science Fiction,4.5,669,9.99,11.74,"3,366",4.4
THE BOY FROM THE WOODS,Harlan Coben,Grand Central,5,384,Mysteries & Thrillers,4,2490,11.99,22.42,"17,096",4.4
THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,28,464,Mysteries & Thrillers,4.5,7164,7.99,17.88,"35,269",4.4
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,70,288,Historical,4.5,4473,10.99,11.73,"49,626",4.7
